Description;Valence Mean
triumphant;8,82
love;8,72
paradise;8,72
loved;8,64
joy;8,6
miracle;8,6
humor;8,56
laughter;8,45
champion;8,44
friendly;8,43
sweetheart;8,42
affection;8,39
mother;8,39
excellence;8,38
win;8,38
cash;8,37
comedy;8,37
fun;8,37
orgasm;8,32
romantic;8,32
victory;8,32
success;8,29
pleasure;8,28
treasure;8,27
delight;8,26
free;8,26
kiss;8,26
baby;8,22
joyful;8,22
happy;8,21
promotion;8,2
graduate;8,19
lucky;8,17
terrific;8,16
vacation;8,16
god;8,15
rainbow;8,14
music;8,13
valentine;8,11
cheer;8,1
joke;8,1
sex;8,05
thrill;8,05
beach;8,03
millionaire;8,03
passion;8,03
proud;8,03
rollercoaster;8,02
sexy;8,02
diploma;8
engaged;8
hug;8
acceptance;7,98
confident;7,98
ecstasy;7,98
liberty;7,98
aroused;7,97
satisfied;7,94
fame;7,93
handsome;7,93
diamond;7,92
pillow;7,92
snuggle;7,92
home;7,91
merry;7,9
achievement;7,89
luxury;7,88
waterfall;7,88
party;7,86
sunrise;7,86
birthday;7,84
caress;7,84
beauty;7,82
kindness;7,82
wedding;7,82
adorable;7,81
christmas;7,8
enjoyment;7,8
triumph;7,8
truth;7,8
justice;7,78
trophy;7,78
gift;7,77
spring;7,76
sunlight;7,76
outstanding;7,75
pretty;7,75
admired;7,74
friend;7,74
car;7,73
progress;7,73
savior;7,73
cuddle;7,72
peace;7,72
honest;7,7
rescue;7,7
riches;7,7
wealthy;7,7
desire;7,69
sunset;7,68
honor;7,66
family;7,65
food;7,65
improve;7,65
nature;7,65
thoughtful;7,65
respect;7,64
leader;7,63
profit;7,63
cute;7,62
untroubled;7,62
intimate;7,61
adventure;7,6
beautiful;7,6
kind;7,59
money;7,59
freedom;7,58
knowledge;7,58
spouse;7,58
dog;7,57
secure;7,57
puppy;7,56
talent;7,56
fireworks;7,55
glory;7,55
holiday;7,55
loyal;7,55
sun;7,55
carefree;7,54
gold;7,54
angel;7,53
reward;7,53
flirt;7,52
wise;7,52
bed;7,51
applause;7,5
bright;7,5
excitement;7,5
luscious;7,5
memories;7,48
dollar;7,47
eat;7,47
good;7,47
outdoors;7,47
surprised;7,47
magical;7,46
elated;7,45
refreshment;7,44
elegant;7,43
erotic;7,43
couple;7,41
devoted;7,41
fantasy;7,41
jolly;7,41
silly;7,41
warmth;7,41
grin;7,4
cozy;7,39
heart;7,39
grateful;7,37
sky;7,37
intercourse;7,36
treat;7,36
bride;7,34
fascinate;7,34
bath;7,33
impressed;7,33
people;7,33
imagine;7,32
gentle;7,31
circus;7,3
festive;7,3
heaven;7,3
soothe;7,3
dazzle;7,29
protected;7,29
bird;7,27
life;7,27
star;7,27
blossom;7,26
cake;7,26
house;7,26
king;7,26
prestige;7,26
scholar;7,26
alive;7,25
perfection;7,25
sailboat;7,25
bunny;7,24
twilight;7,23
respectful;7,22
easygoing;7,2
lively;7,2
sleep;7,2
bless;7,19
palace;7,19
champ;7,18
politeness;7,18
butterfly;7,17
capable;7,16
dinner;7,16
brave;7,15
earth;7,15
inspired;7,15
learn;7,15
dancer;7,14
useful;7,14
exercise;7,13
lust;7,12
ocean;7,12
soft;7,12
brother;7,11
strong;7,11
dignified;7,1
easy;7,1
hopeful;7,1
song;7,1
travel;7,1
heal;7,09
masterful;7,09
agreement;7,08
child;7,08
father;7,08
snow;7,08
comfort;7,07
melody;7,07
safe;7,07
skijump;7,06
hope;7,05
ambition;7,04
bouquet;7,02
color;7,02
greet;7
idea;7
incentive;7
jewel;7
pride;7
relaxed;7
sapphire;7
spirit;7
toy;7
famous;6,98
game;6,98
inspire;6,97
interest;6,97
advantage;6,95
bliss;6,95
infant;6,95
optimism;6,95
present;6,95
yacht;6,95
decorate;6,93
tender;6,93
tune;6,93
wink;6,93
kids;6,91
dove;6,9
nectar;6,9
silk;6,9
humane;6,89
thankful;6,89
young;6,89
ace;6,88
chocolate;6,88
leisurely;6,88
mail;6,88
social;6,88
girl;6,87
kitten;6,86
movie;6,86
breeze;6,85
river;6,85
powerful;6,84
beverage;6,83
mobility;6,83
intellect;6,82
lake;6,82
muscular;6,82
nude;6,82
casino;6,81
health;6,81
penthouse;6,81
bold;6,8
daylight;6,8
pet;6,79
vigorous;6,79
zest;6,79
space;6,78
charm;6,77
blue;6,76
glamour;6,76
perfume;6,76
restaurant;6,76
youth;6,75
sugar;6,74
dream;6,73
honey;6,73
infatuation;6,73
man;6,73
radiant;6,73
radio;6,73
garden;6,71
patriot;6,71
awed;6,7
bathtub;6,69
education;6,69
pasta;6,69
art;6,68
mind;6,68
trust;6,68
astronaut;6,66
taste;6,66
pizza;6,65
cuisine;6,64
flower;6,64
quick;6,64
answer;6,63
memory;6,62
vision;6,62
athletics;6,61
letter;6,61
water;6,61
abundance;6,59
mountain;6,59
natural;6,59
crown;6,58
smooth;6,58
identity;6,57
lottery;6,57
muffin;6,57
rabbit;6,57
astonished;6,56
nice;6,55
candy;6,54
clothing;6,54
mighty;6,54
power;6,54
swimmer;6,54
innocent;6,51
breast;6,5
world;6,5
adult;6,49
option;6,49
saint;6,49
reunion;6,48
employment;6,47
white;6,47
agility;6,46
favor;6,46
nourish;6,46
swift;6,46
cottage;6,45
diver;6,45
save;6,45
virgin;6,45
queen;6,44
blond;6,43
plane;6,43
bar;6,42
priest;6,42
dress;6,41
pie;6,41
red;6,41
face;6,39
legend;6,39
thought;6,39
gymnast;6,35
air;6,34
naked;6,34
wife;6,33
boy;6,32
person;6,32
tree;6,32
autumn;6,3
tidy;6,3
church;6,28
opinion;6,28
hamburger;6,27
nipple;6,27
vehicle;6,27
quality;6,25
voyage;6,25
computer;6,24
garter;6,22
virtue;6,22
event;6,21
lavish;6,21
alert;6,2
field;6,2
moral;6,2
clouds;6,18
green;6,18
bake;6,17
cook;6,16
dawn;6,16
bottle;6,15
vagina;6,14
grass;6,12
idol;6,12
doll;6,09
curious;6,08
nurse;6,08
pancakes;6,08
foam;6,07
fragrance;6,07
garment;6,07
fish;6,04
city;6,03
chance;6,02
coin;6,02
flag;6,02
orchestra;6,02
tennis;6,02
hotel;6
mystic;6
coast;5,98
plant;5,98
sentiment;5,98
hand;5,95
milk;5,95
wine;5,95
invest;5,93
highway;5,92
salute;5,92
village;5,92
window;5,91
penis;5,9
horse;5,89
lamb;5,89
lighthouse;5,89
hawk;5,88
privacy;5,88
skyscraper;5,88
humble;5,86
poetry;5,86
custom;5,85
whistle;5,81
owl;5,8
consoled;5,78
mushroom;5,78
watch;5,78
modest;5,76
moment;5,76
prairie;5,75
sheltered;5,75
trumpet;5,75
salad;5,74
gender;5,73
nursery;5,73
book;5,72
cat;5,72
frog;5,71
key;5,68
limber;5,68
teacher;5,68
circle;5,67
medicine;5,67
runner;5,67
jelly;5,66
market;5,66
manner;5,64
paint;5,62
golfer;5,61
lightbulb;5,61
yellow;5,61
alien;5,6
ketchup;5,6
windmill;5,6
unit;5,59
quiet;5,58
cow;5,57
lantern;5,57
lion;5,57
mischief;5,57
method;5,56
rock;5,56
